TIC,CTOI,Flag,Othe name,Epoch (BTJD),Epoch (BTJD) uper,Epoch (BTJD) lerr,Period (d),Period uerr,Period derr,Rpl/Rs,Rpl/Rs uerr,Rpl/Rs derr,Rpl (R earth),Rpl (R earth) uerr,Rpl (R earth) derr,Impact parameter,Impact parameter uerr,Impact parameter derr,Duration (h),Duration (h) uerr,Duration (h) derr,Vmag,Photometry,Spectroscopy,Speckle,Comment
229742722,229742722.01,∗,TYC 4434-00596-1,1689.688,+0.02,−0.025,29,+66.3,−16.4(s),0.019,+0.0029,−0.0028,2.9,+0.48,−0.44,0.44,+0.33,−0.3,4.27,+0.11,−0.09,10.33,,NRES(8);SOPHIE(4),Gemini,
233194447,233194447.01,,TYC 4211-00650-1,1770.4924,+0.0107,−0.0065,373,+284.0,−101.0(s),0.02121,+0.001,−0.00073,5.08,+0.33,−0.28,0.34,+0.29,−0.24,24.45,+0.5,−0.47,9.178,,NRES(2),Gemini,
235943205,235943205.01,,TYC 4588-00127-1,1827.0267,+0.0034,−0.004,121.3394,+0.0065,−0.0063,0.0402,+0.0019,−0.0016,4.2,+0.29,−0.25,0.4,+0.28,−0.27,6.37,+0.3,−0.2,11.076,,NRES(1);SOPHIE(2),,
237201858,237201858.01,,TYC 4452-00759-1,1811.5032,+0.0067,−0.0069,129.7,+146.8,−41.5(s),0.0258,+0.0015,−0.0013,4.12,+0.3,−0.27,0.4,+0.31,−0.28,10.94,+0.53,−0.37,10.344,,NRES(1),,
243187830,243187830.01,∗,HIP 5286,1783.7671,+0.0019,−0.0017,4.05,+9.21,−1.53(s),0.0268,+0.0027,−0.0015,2.06,+0.23,−0.17,0.47,+0.34,−0.32,2.02,+0.15,−0.12,8.407,SBIG(1),,,
243417115,243417115.01,,TYC 8262-02120-1,1614.4796,+0.0022,−0.0028,1.81,+3.45,−0.73(s),0.0523,+0.005,−0.0035,5.39,+0.64,−0.47,0.47,+0.34,−0.33,2.03,+0.23,−0.16,11.553,,,,
256429408,256429408.01,,TYC 4462-01942-1,1962.16,+0.0023,−0.0022,382,+265.0,−132.0(s),0.03582,+0.00094,−0.00086,6.12,+0.3,−0.29,0.51,+0.18,−0.36,16.96,+0.24,−0.2,8.898,,,,
264544388,264544388.01,∗,TYC 4607-01275-1,1824.8438,+0.0078,−0.0076,7030,+3330.0,−6260.0(s),0.0288,+0.0018,−0.0029,4.58,+0.35,−0.43,0.936,+0.011,−0.363,19.13,+0.84,−1.35,8.758,,NRES(1),,
264766922,264766922.01,,TYC 8565-01780-1,1538.69518,+0.00091,−0.00091,3.28,+1.25,−0.94(s),0.0933,+0.0176,−0.0063,16.95,+3.19,−1.33,0.908,+0.048,−0.039,2.73,+0.11,−0.11,10.747,,,,
26547036,26547036.01,∗,TYC 3921-01563-1,1712.30464,+0.0004,−0.00041,73,+16.5,−13.6(s),0.10034,+0.00078,−0.0007,11.75,+0.58,−0.59,0.17,+0.11,−0.12,8.681,+0.052,−0.049,9.849,,NRES(4),Gemini,
267542728,267542728.01,†,TYC 4583-01499-1,1708.4956,+0.0085,−0.0073,39.7382,+0.0023,−0.0023,0.03267,+0.00175,−0.00089,18.46,+1.14,−0.94,0.38,+0.27,−0.26,24.16,+0.45,−0.39,11.474,,,,EB from HIRES RVs.
270371513,270371513.01,†,HIP 10047,1426.2967,+0.002,−0.0023,0.39,+1.79,−0.17(s),0.024,+0.0032,−0.0015,4.8,+0.64,−0.38,0.5,+0.39,−0.34,1.93,+0.19,−0.16,6.98515,,MINERVA(20),,SB 2 from MINERVA observations.
274599700,274599700.01,,TWOMASS 17011885+5131455,2002.1202,+0.0024,−0.0024,32.9754,+0.005,−0.005,0.0847,+0.0018,−0.0021,13.25,+0.83,−0.83,0.37,+0.19,−0.24,8.2,+0.21,−0.18,12.411,,,,
278990954,278990954.01,,TYC 8548-00717-1,1650.0191,+0.0105,−0.0086,18.45,+230.7,−8.66(s),0.034,+0.0115,−0.0024,9.65,+3.13,−0.92,0.58,+0.36,−0.4,10.62,+2.46,−0.66,10.749,,,,
280865159,280865159.01,∗,TYC 9384-01533-1,1387.0749,+0.0044,−0.0045,1045,+536.0,−249.0(s),0.0406,+0.0014,−0.0011,4.75,+0.28,−0.26,0.35,+0.23,−0.24,19.08,+0.36,−0.32,11.517,,,Gemini,
284361752,284361752.01,,TYC 3924-01678-1,2032.093,+0.008,−0.0078,140.6,+159.1,−46.6(s),0.0259,+0.0017,−0.0014,3.62,+0.31,−0.26,0.4,+0.34,−0.27,8.98,+0.86,−0.66,10.221,,,,
288240183,288240183.01,,TYC 4634-01225-1,1896.941,+0.0047,−0.0051,119.0502,+0.0089,−0.0091,0.02826,+0.00119,−0.00089,4.28,+0.36,−0.35,0.55,+0.25,−0.37,17.49,+0.6,−0.36,9.546,,,,
29169215,29169215.01,,TWOMASS 09011787+4727085,1872.5047,+0.0036,−0.0032,14.89,+24.84,−6.12(s),0.0403,+0.0033,−0.0025,3.28,+0.45,−0.37,0.44,+0.33,−0.3,3.56,+0.32,−0.21,11.828,,,,
293649602,293649602.01,,TYC 8103-00266-1,1511.2109,+0.0037,−0.004,12.85,+42.21,−5.34(s),0.04,+0.0039,−0.0024,4.66,+0.5,−0.36,0.5,+0.34,−0.35,4.1,+0.56,−0.31,10.925,,,,
296737508,296737508.01,,TYC 5472-01060-1,1538.0036,+0.0016,−0.0015,18.27,+17.45,−5.06(s),0.0425,+0.0019,−0.0014,5.33,+0.27,−0.22,0.44,+0.26,−0.3,5.13,+0.15,−0.13,9.772,Sinistro(1),NRES(1);MINERVA(1),Gemini,
298663873,298663873.01,,TYC 3913-01781-1,1830.76819,+0.00099,−0.00099,479.9,+109.4,−89.4(s),0.06231,+0.00045,−0.00034,11.07,+0.57,−0.57,0.16,+0.13,−0.11,23.99,+0.1,−0.093,9.162,,NRES(2),Gemini,Dalba et al.(in prep)
303050301,303050301.01,,TYC 6979-01108-1,1366.1301,+0.0023,−0.0022,281,+264.0,−170.0(s),0.0514,+0.0018,−0.0027,4.85,+0.32,−0.32,0.73,+0.1,−0.48,7.91,+0.36,−0.31,10.048,,NRES(1),Gemini,
303317324,303317324.01,,TYC 6983-00438-1,1365.1845,+0.0028,−0.0023,69,+78.1,−25.5(s),0.0365,+0.0016,−0.0013,2.88,+0.31,−0.3,0.39,+0.32,−0.26,5.78,+0.24,−0.18,10.799,,,,
303586471,303586471.01,†,HIP 115828,1363.7692,+0.0027,−0.0033,13.85,+18.2,−4.19(s),0.0214,+0.0014,−0.001,2.52,+0.2,−0.16,0.4,+0.33,−0.27,4.23,+0.16,−0.19,8.27,,MINERVA(11),,SB 2 from MINERVA observations.
304142124,304142124.01,∗,HIP 53719,1585.28023,+0.0008,−0.0008,42.8,+18.2,−10.0(s),0.04311,+0.00153,−0.00093,4.1,+0.24,−0.23,0.33,+0.21,−0.21,5.66,+0.09,−0.067,8.62,,NRES(1);MINERVA(4),,Confirmed planet(D´ıaz et al. 2020)
304339227,304339227.01,,TYC 9290-01087-1,1673.3242,+0.0128,−0.009,111.9,+4844.1,−72.2(s),0.0253,+0.0481,−0.0024,3.27,+5.72,−0.61,0.67,+0.36,−0.47,7.44,+2.84,−0.86,9.169,,,,
307958020,307958020.01,,TYC 4191-00309-1,1864.82,+0.013,−0.014,169,+10194.0,−107.0(s),0.0223,+0.0543,−0.0022,3.92,+9.27,−0.52,0.71,+0.33,−0.53,12.48,+5.41,−1.1,9.017,,,,
308301091,308301091.01,,TYC 2081-01273-1,2030.3691,+0.0026,−0.0024,29.24,+22.46,−8.49(s),0.0362,+0.0014,−0.0013,5.41,+0.35,−0.34,0.35,+0.29,−0.25,6.57,+0.19,−0.14,10.273,,,,
313006381,313006381.01,,HIP 45012,1705.687,+0.0045,−0.0081,21.56,+54.15,−8.9(s),0.0261,+0.0027,−0.0017,2.34,+0.27,−0.2,0.45,+0.38,−0.3,3.85,+0.31,−0.51,9.39,,,,
323295479,323295479.01,∗,TYC 9506-01881-1,1622.9258,+0.00087,−0.00083,117.8,+30.9,−25.8(s),0.0981,+0.0023,−0.0021,11.35,+0.66,−0.67,0.839,+0.019,−0.024,6.7,+0.15,−0.14,10.595,,,,
328933398,328933398.01,∗,TYC 4634-01435-1,1880.9878,+0.0042,−0.0039,24.9335,+0.005,−0.0046,0.0437,+0.0023,−0.0022,4.62,+0.33,−0.32,0.38,+0.27,−0.25,5.02,+0.27,−0.22,11.215,,,,Potential multiplanet system
328933398,328933398.02,∗,TYC 4634-01435-1,1848.6557,+0.0072,−0.0053,50.5,+77.1,−22.4(s),0.0296,+0.0033,−0.0028,3.14,+0.39,−0.33,0.41,+0.35,−0.28,5.99,+0.77,−0.8,11.215,,,,
331644554,331644554.01,,TYC 3609-00469-1,1757.0354,+0.0033,−0.0031,947,+274.0,−215.0(s),0.12,+0.021,−0.025,21.84,+3.86,−4.57,1.018,+0.028,−0.036,10.93,+0.35,−0.34,9.752,,,,
332657786,332657786.01,,TWOMASS 09595797−1609323,1536.7659,+0.0015,−0.0015,63.76,+11.13,−9.52(s),0.14961,+0.00029,−0.00064,3.83,+0.12,−0.12,0.059,+0.064,−0.041,3.333,+0.096,−0.095,15.99,,,,
336075472,336075472.01,,TYC 3526-00332-1,2028.1762,+0.0037,−0.0043,61.9,+95.6,−24.0(s),0.0402,+0.0033,−0.0022,3.09,+0.4,−0.34,0.43,+0.32,−0.29,5.39,+0.37,−0.23,11.842,,,,
349488688,349488688.01,,TYC 1529-00224-1,1994.283,+0.0033,−0.0038,11.6254,+0.0052,−0.005,0.02195,+0.00122,−0.00096,3.44,+0.21,−0.18,0.39,+0.3,−0.27,5.58,+0.18,−0.15,8.855,,NRES(2);SOPHIE(2),,Potential multiplanet system
349488688,349488688.02,,TYC 1529-00224-1,2002.77063,+0.00103,−0.00097,15.35,+4.15,−1.94(s),0.03688,+0.00069,−0.00067,5.78,+0.18,−0.18,0.24,+0.21,−0.16,6.291,+0.074,−0.058,8.855,,NRES(2);SOPHIE(2),,
356700488,356700488.01,∗,TYC 4420-01295-1,1756.638,+0.011,−0.013,184.5,+333.1,−64.7(s),0.0173,+0.0015,−0.0011,2.92,+0.28,−0.2,0.44,+0.34,−0.3,11.76,+1.03,−0.65,8.413,,,,
356710041,356710041.01,∗,TYC 1993-00419-1,1932.2939,+0.0019,−0.0019,29.6,+19.0,−14.0(s),0.0496,+0.0011,−0.0021,14.82,+0.84,−0.85,0.66,+0.11,−0.42,12.76,+0.24,−0.24,9.646,,,,
369532319,369532319.01,,TYC 2743-01716-1,1755.8158,+0.0051,−0.006,35.4,+51.6,−12.0(s),0.0316,+0.0028,−0.0023,3.43,+0.37,−0.3,0.41,+0.34,−0.29,5.5,+0.32,−0.32,10.594,,,Gemini,
369779127,369779127.01,,TYC 9510-00090-1,1643.9403,+0.0058,−0.0046,9.93,+19.74,−3.38(s),0.0288,+0.0033,−0.0015,4.89,+0.56,−0.31,0.46,+0.33,−0.31,5.64,+0.33,−0.38,9.279,,,,
384159646,384159646.01,∗,TYC 9454-00957-1,1630.39405,+0.00079,−0.00079,11.68,+4.21,−2.75(s),0.0658,+0.0011,−0.0012,9.87,+0.44,−0.45,0.27,+0.21,−0.18,5.152,+0.087,−0.069,10.158,SBIG(1),NRES(8);MINERVA(6),Gemini,
