TIC ID,CTOI,TOI,Disposition,Has Time Series,Has Spectroscopy,Has Imaging,CTOI Notes,TOI Comments,Paper Comment,WTV Sectors,TFOPWG Disposition,TOI Master Priority,TOI Time Series Observations,TOI Spectroscopy Observations,TOI Imaging Observations,Paper Photometry,Paper Spectroscopy,Paper Speckle,TESS Mag,Transit Epoch (BTJD),Period (days),Depth ppm,Duration (hrs),Planet Radius (R_Earth),Stellar Distance (pc),Stellar Eff Temp (K),Approximate Absolute TESS Mag,Stellar Radius (R_Sun),RA,Dec,CTOI lastmod,TOI Date Modified
55525572,55525572.01,813.01,CP,True,True,True,Planethunters-TESS candidate,TOI-813 b; CTOI from Planet Hunters TESS,Confirmed planet(Eisner et al. 2020b),"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,",CP,1,5,1,3,,CHIRON(5),Gemini,9.8467,1454.6749999998137,83.8889,1043.0,14.0,,263.145,5823.7,2.745724387839056,2.04354,72.69401,-60.905461,2019-05-15 01:53:06,2022-12-14 12:09:24
59490344,59490344.01,,,False,False,False,PHT candidate. Single transit event.,,,"44,45,46,71,72,",,,,,,,,,8.3323,2509.798330000136,,1300.0,6.8,3.3,46.2206,5235.0,5.008122105730044,0.844852,108.993831,18.691658,2021-12-28 03:26:50,
63013648,63013648.01,5547.01,PC,False,True,True,PHT candidate. Single transit event. Note: high impact parameter but consists with <1.,odd-even; V-shaped; Rv error ~2.77 km/s,,"44,46,71,72,",PC,3,0,2,2,,,,10.8481,,2459516.534,8500.0,3.1,10.3,193.901,5509.85,4.410199755705958,1.03786,117.591236,22.281552,2022-01-12 11:53:10,2023-01-10 00:00:00
63698669,63698669.01,1892.01,PC,True,True,True,Planethunters-TESS candidate. Single Transit,second transit event is real single transit and others are spurious; CTOI from Planet Hunters TESS,,"2,29,69,",PC,3,0,3,1,SBIG(1),,,9.9312,1364.6099999998696,0.0,1000.0,7.5,,97.4697,5431.0,4.986851853197091,0.795285,5.165323,-33.984476,2020-01-16 02:17:22,2022-12-14 12:09:24
67884964,67884964.01,,,False,False,False,PHT candidate. Two transit events separated by ~721.57 d. Signal at TJD~2589.0 is due to background event.,,,"20,47,60,",,,,,,,,,10.9795,1868.0125000001863,,1170.0,5.8,2.6,90.774,4562.03,6.189692633687802,0.647676,111.554226,42.121059,2022-03-08 07:19:55,
70887357,70887357.01,2008.01,PC,False,True,True,PHT candidate. Single transit event.,former single transit; now has second transit in Y3; period is longest alias; CTOI from Nora Eisner,,"5,32,",PC,3,0,11,3,,,,8.64807,1454.339999999851,0.0,3000.0,6.2,10.7,139.212,5609.0,2.9296866357982374,1.94771,63.857632,-16.902144,2020-05-22 04:15:41,2022-12-14 12:09:24
71268730,71268730.01,5375.01,PC,True,False,False,PHT candidate.,orbital period close to variability period,,"20,26,40,47,53,60,73,74,",PC,3,6,0,0,,,,12.456,2391.3656000001356,1.72155,28950.0,1.76,11.72,121.333,3865.0,7.036105320944769,0.633426,113.784894,71.400673,2022-01-12 13:59:59,2022-12-14 12:09:24
81089255,81089255.01,,,False,False,False,PHT single transit event. Note that the field is very crowded.,,,"7,8,34,35,61,62,",,,,,,,,,11.8409,2260.2069999999367,,4700.0,4.3,10.6,564.158,7459.0,3.0838962449904255,1.42847,122.694102,-43.853401,2021-05-20 00:47:19,
82204651,82204651.01,,,False,False,False,PHT candidate. Single transit event.,,,"21,45,46,48,",,,,,,,,,11.1354,2534.2599999997765,,4360.0,11.2,11.1,357.878,5739.09,3.3667249918760387,1.54135,148.135139,25.902626,2022-01-12 12:08:23,
82452140,82452140.01,2289.01,PC,False,True,True,PHT candidate. Data gaps allow for multiples of the stated period.,low SNR,,"24,26,51,52,78,79,",PC,2,0,3,8,,,,10.0011,1964.2900000000373,20.32,1400.0,,2.95,139.616,5717.0,4.276424043466369,1.01496,255.097557,39.73025,2020-09-04 00:15:33,2022-12-14 12:09:24
